Memory Length,500,
Trigger Level,2.000E-01,
Source,CH1,
Vertical Units,V,
Vertical Scale,1.000E+00,
Vertical Position,4.000E-02,
Horizontal Units,s,
Horizontal Scale,5.000E-06,
Horizontal Position,1.540E-05,
Horizontal Mode,Main,
Sampling Period,2.000E-07,
Firmware,V1.09,
Time,21-Nov-13 15:28,
Waveform Data,
-79,
-78,
-79,
-78,
-79,
-78,
-77,
-78,
-78,
-79,
-78,
-78,
-78,
-77,
-79,
-79,
-78,
-78,
-78,
-77,
-79,
-80,
-79,
-79,
-79,
-77,
-79,
-78,
-79,
-77,
-77,
-78,
-79,
-79,
-77,
-78,
-78,
-78,
-78,
-79,
-79,
-78,
-78,
-80,
-78,
-78,
-79,
-79,
-77,
-77,
-78,
-79,
-78,
-80,
-79,
-77,
-79,
-77,
-77,
-79,
-78,
-78,
-79,
-78,
-79,
-78,
-78,
-78,
-78,
-78,
-79,
-78,
-78,
-78,
-79,
-78,
-78,
-79,
-77,
-79,
-78,
-78,
-79,
-79,
-79,
-79,
-78,
-79,
-78,
-78,
-78,
-77,
-78,
-78,
-79,
-78,
-78,
-77,
-78,
-77,
-78,
-78,
-77,
-80,
-77,
-78,
-78,
-79,
-79,
-79,
-78,
-77,
-79,
-79,
-79,
-79,
-78,
-80,
-79,
-79,
-78,
-77,
-79,
-78,
-78,
-79,
-77,
-80,
-78,
-79,
-77,
-79,
-79,
-78,
-79,
-77,
-79,
-79,
-77,
-78,
-77,
-79,
-77,
-78,
-78,
-78,
-77,
-78,
-79,
-79,
-80,
-78,
-78,
-78,
-77,
-77,
-78,
-79,
-78,
-78,
-79,
-78,
-79,
-79,
-79,
-78,
-79,
-77,
-78,
-79,
-78,
-77,
-78,
-75,
64,
80,
81,
81,
81,
80,
81,
80,
82,
81,
82,
81,
81,
82,
81,
82,
82,
82,
82,
82,
82,
81,
81,
82,
80,
82,
82,
82,
81,
83,
82,
83,
81,
83,
82,
82,
82,
81,
83,
81,
83,
81,
82,
81,
82,
82,
81,
83,
83,
82,
83,
82,
83,
83,
81,
83,
83,
83,
83,
81,
82,
83,
82,
82,
82,
82,
83,
83,
83,
83,
83,
82,
82,
82,
82,
82,
83,
82,
82,
82,
83,
84,
82,
82,
82,
83,
82,
83,
82,
83,
82,
83,
82,
82,
82,
83,
82,
81,
84,
83,
83,
84,
82,
83,
83,
82,
82,
82,
82,
83,
83,
82,
82,
82,
83,
82,
82,
83,
81,
82,
82,
83,
83,
82,
81,
83,
83,
82,
83,
82,
83,
83,
82,
83,
83,
82,
83,
83,
82,
82,
83,
83,
82,
85,
83,
83,
82,
82,
82,
83,
82,
83,
83,
81,
83,
82,
82,
83,
83,
83,
83,
82,
81,
82,
83,
81,
82,
83,
83,
83,
83,
83,
82,
81,
82,
81,
82,
83,
83,
83,
83,
82,
83,
82,
81,
82,
82,
83,
83,
83,
82,
82,
82,
82,
83,
83,
83,
83,
81,
83,
83,
83,
83,
81,
84,
82,
83,
82,
82,
83,
82,
83,
82,
83,
82,
82,
85,
82,
83,
81,
83,
83,
82,
82,
82,
81,
82,
82,
83,
83,
81,
81,
82,
82,
83,
83,
82,
83,
82,
83,
83,
82,
82,
83,
80,
83,
82,
82,
82,
82,
82,
82,
83,
82,
83,
84,
82,
83,
82,
81,
82,
83,
82,
81,
82,
83,
83,
83,
83,
83,
83,
83,
83,
81,
83,
81,
82,
82,
82,
83,
83,
83,
82,
81,
83,
82,
82,
82,
82,
81,
83,
82,
83,
82,
83,
82,
83,
82,
83,
82,
82,
84,
83,
85,
82,
84,
83,
83,
83,
82,
81,
82,
83,
82,
83,
82,
81,
83,
83,
83,
82,
82,
82,
83,
83,
82,
